",""Kingdom"",""Phylum"",""Class"",""Order"",""Family"",""Genus"",""Species"""
"ASV1,""Bacteria"",""Firmicutes"",""Bacilli"",""Bacillales"",""Bacillaceae"",""Bacillus"",NA"
"ASV2,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Cytophagales"",""Hymenobacteraceae"",""Hymenobacter"",NA"
"ASV3,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Cytophagales"",""Hymenobacteraceae"",""Hymenobacter"",NA"
"ASV4,""Bacteria"",""Deinococcus-Thermus"",""Deinococci"",""Deinococcales"",""Deinococcaceae"",""Deinococcus"",NA"
"ASV5,""Bacteria"",""Proteobacteria"",""Alphaproteobacteria"",""Sphingomonadales"",""Sphingomonadaceae"",""Sphingomonas"",NA"
"ASV6,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Micrococcales"",""Microbacteriaceae"",""Curtobacterium"",NA"
"ASV7,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Micrococcales"",""Microbacteriaceae"",""Frondihabitans"",NA"
"ASV8,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Cytophagales"",""Hymenobacteraceae"",""Hymenobacter"",NA"
"ASV9,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Cytophagales"",""Hymenobacteraceae"",""Hymenobacter"",NA"
"ASV10,""Bacteria"",""Proteobacteria"",""Alphaproteobacteria"",""Sphingomonadales"",""Sphingomonadaceae"",""Sphingomonas"",NA"
"ASV11,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Micrococcales"",""Microbacteriaceae"",""Amnibacterium"",NA"
"ASV12,""Bacteria"",""Proteobacteria"",""Alphaproteobacteria"",""Sphingomonadales"",""Sphingomonadaceae"",""Sphingomonas"",""faeni"""
"ASV13,""Bacteria"",""Proteobacteria"",""Alphaproteobacteria"",""Rhizobiales"",""Beijerinckiaceae"",""Methylobacterium"",NA"
"ASV14,""Bacteria"",""Proteobacteria"",""Alphaproteobacteria"",""Rhizobiales"",""Beijerinckiaceae"",""Methylobacterium"",NA"
"ASV15,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Kineosporiales"",""Kineosporiaceae"",""Kineococcus"",NA"
"ASV16,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Cytophagales"",""Hymenobacteraceae"",""Hymenobacter"",""marinus"""
"ASV17,""Bacteria"",""Proteobacteria"",""Alphaproteobacteria"",""Rhizobiales"",""Beijerinckiaceae"",""Methylobacterium"",NA"
"ASV18,""Bacteria"",""Proteobacteria"",""Gammaproteobacteria"",""Pseudomonadales"",""Pseudomonadaceae"",""Pseudomonas"",NA"
"ASV19,""Bacteria"",""Proteobacteria"",""Gammaproteobacteria"",""Enterobacteriales"",""Enterobacteriaceae"",NA,NA"
"ASV20,""Bacteria"",""Proteobacteria"",""Gammaproteobacteria"",""Enterobacteriales"",""Enterobacteriaceae"",""Erwinia"",NA"
"ASV21,""Bacteria"",""Proteobacteria"",""Gammaproteobacteria"",""Enterobacteriales"",""Enterobacteriaceae"",""Pantoea"",NA"
"ASV22,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Cytophagales"",""Hymenobacteraceae"",""Hymenobacter"",NA"
"ASV23,""Bacteria"",""Proteobacteria"",""Gammaproteobacteria"",""Pseudomonadales"",""Pseudomonadaceae"",""Pseudomonas"",NA"
"ASV24,""Bacteria"",""Proteobacteria"",""Alphaproteobacteria"",""Sphingomonadales"",""Sphingomonadaceae"",""Sphingomonas"",""aurantiaca"""
"ASV25,""Bacteria"",""Proteobacteria"",""Alphaproteobacteria"",""Rhizobiales"",""Beijerinckiaceae"",""1174-901-12"",NA"
"ASV26,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Micrococcales"",""Microbacteriaceae"",""Frigoribacterium"",""faeni"""
"ASV27,""Bacteria"",""Firmicutes"",""Bacilli"",""Bacillales"",""Bacillaceae"",""Bacillus"",NA"
"ASV28,""Bacteria"",""Proteobacteria"",""Alphaproteobacteria"",""Rhizobiales"",""Beijerinckiaceae"",""Methylobacterium"",NA"
"ASV29,""Bacteria"",""Proteobacteria"",""Gammaproteobacteria"",""Betaproteobacteriales"",""Burkholderiaceae"",""Massilia"",NA"
"ASV30,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Cytophagales"",""Spirosomaceae"",""Spirosoma"",NA"
"ASV31,""Bacteria"",""Proteobacteria"",""Alphaproteobacteria"",""Sphingomonadales"",""Sphingomonadaceae"",""Sphingomonas"",NA"
"ASV32,""Bacteria"",""Proteobacteria"",""Gammaproteobacteria"",""Betaproteobacteriales"",""Burkholderiaceae"",""Massilia"",""aurea"""
"ASV33,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Peptostreptococcaceae"",""Romboutsia"",NA"
"ASV34,""Bacteria"",""Deinococcus-Thermus"",""Deinococci"",""Deinococcales"",""Deinococcaceae"",""Deinococcus"",NA"
"ASV35,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Micrococcales"",""Microbacteriaceae"",""Amnibacterium"",NA"
"ASV36,""Bacteria"",""Proteobacteria"",""Alphaproteobacteria"",""Sphingomonadales"",""Sphingomonadaceae"",""Sphingomonas"",NA"
"ASV37,""Bacteria"",""Proteobacteria"",""Alphaproteobacteria"",""Acetobacterales"",""Acetobacteraceae"",NA,NA"
